Year,Month,Count,Type
2014,1,140,Plug-In Hybridautos
2014,1,541,Reine Elektroautos
2014,2,125,Plug-In Hybridautos
2014,2,481,Reine Elektroautos
2014,3,156,Plug-In Hybridautos
2014,3,823,Reine Elektroautos
2014,4,302,Plug-In Hybridautos
2014,4,599,Reine Elektroautos
2014,5,934,Reine Elektroautos
2014,5,535,Plug-In Hybridautos
2014,6,317,Plug-In Hybridautos
2014,6,810,Reine Elektroautos
2014,7,460,Plug-In Hybridautos
2014,7,597,Reine Elektroautos
2014,8,620,Plug-In Hybridautos
2014,8,515,Reine Elektroautos
2014,9,398,Plug-In Hybridautos
2014,9,747,Reine Elektroautos
2014,10,402,Plug-In Hybridautos
2014,10,841,Reine Elektroautos
2014,11,630,Reine Elektroautos
2014,11,514,Plug-In Hybridautos
2014,12,558,Plug-In Hybridautos
2014,12,1004,Reine Elektroautos
2015,1,593,Plug-In Hybridautos
2015,1,659,Reine Elektroautos
2015,2,686,Plug-In Hybridautos
2015,2,436,Reine Elektroautos
2015,3,886,Plug-In Hybridautos
2015,3,1278,Reine Elektroautos
2015,4,684,Reine Elektroautos
2015,4,1006,Plug-In Hybridautos
2015,5,1054,Plug-In Hybridautos
2015,5,574,Reine Elektroautos
2015,6,754,Plug-In Hybridautos
2015,6,1032,Reine Elektroautos
2015,7,944,Plug-In Hybridautos
2015,7,962,Reine Elektroautos
2015,8,831,Reine Elektroautos
2015,8,570,Plug-In Hybridautos
2015,9,929,Reine Elektroautos
2015,9,1038,Plug-In Hybridautos
2015,10,1031,Plug-In Hybridautos
2015,10,1686,Reine Elektroautos
2015,11,1372,Reine Elektroautos
2015,11,1823,Plug-In Hybridautos
2015,12,1256,Plug-In Hybridautos
2015,12,1920,Reine Elektroautos
2016,1,976,Plug-In Hybridautos
2016,1,477,Reine Elektroautos
2016,2,751,Reine Elektroautos
2016,2,1237,Plug-In Hybridautos
2016,3,1104,Reine Elektroautos
2016,3,1290,Plug-In Hybridautos
2016,4,964,Plug-In Hybridautos
2016,4,604,Reine Elektroautos
2016,5,588,Reine Elektroautos
2016,5,792,Plug-In Hybridautos
2016,6,865,Plug-In Hybridautos
2016,6,833,Reine Elektroautos
2016,7,1016,Plug-In Hybridautos
2016,7,785,Reine Elektroautos
2016,8,895,Reine Elektroautos
2016,8,836,Plug-In Hybridautos
2016,9,1641,Reine Elektroautos
2016,9,1420,Plug-In Hybridautos
2016,10,1449,Plug-In Hybridautos
2016,10,1167,Reine Elektroautos
2016,11,1231,Reine Elektroautos
2016,11,1418,Plug-In Hybridautos
2016,12,1481,Plug-In Hybridautos
2016,12,1334,Reine Elektroautos
2017,1,1323,Reine Elektroautos
2017,1,1533,Plug-In Hybridautos
2017,2,1546,Reine Elektroautos
2017,2,1443,Plug-In Hybridautos
2017,3,2288,Plug-In Hybridautos
2017,3,2191,Reine Elektroautos
2017,4,1413,Reine Elektroautos
2017,4,2174,Plug-In Hybridautos
2017,5,2323,Plug-In Hybridautos
2017,5,1520,Reine Elektroautos
2017,6,2196,Reine Elektroautos
2017,6,2503,Plug-In Hybridautos
2017,7,1820,Reine Elektroautos
2017,7,2417,Plug-In Hybridautos
2017,8,2177,Reine Elektroautos
2017,8,2617,Plug-In Hybridautos
2017,9,3118,Plug-In Hybridautos
2017,9,2247,Reine Elektroautos
2017,10,2180,Reine Elektroautos
2017,10,2885,Plug-In Hybridautos
2017,11,3031,Reine Elektroautos
2017,11,3259,Plug-In Hybridautos
2017,12,2876,Plug-In Hybridautos
2017,12,3412,Reine Elektroautos
2018,1,2764,Reine Elektroautos
2018,1,2870,Plug-In Hybridautos
2018,2,2559,Plug-In Hybridautos
2018,2,2546,Reine Elektroautos
2018,3,3792,Reine Elektroautos
2018,3,3018,Plug-In Hybridautos
2018,4,3171,Reine Elektroautos
2018,4,2632,Plug-In Hybridautos
2018,5,2310,Reine Elektroautos
2018,5,2465,Plug-In Hybridautos
2018,6,3139,Plug-In Hybridautos
2018,6,2651,Reine Elektroautos
2018,7,2526,Reine Elektroautos
2018,7,3091,Plug-In Hybridautos
2018,8,2457,Reine Elektroautos
2018,8,3431,Plug-In Hybridautos
2018,9,2362,Plug-In Hybridautos
2018,9,2357,Reine Elektroautos
2018,10,3390,Reine Elektroautos
2018,10,1998,Plug-In Hybridautos
2018,11,2004,Plug-In Hybridautos
2018,11,4262,Reine Elektroautos
2018,12,3836,Reine Elektroautos
2018,12,1873,Plug-In Hybridautos
2019,1,4648,Reine Elektroautos
2019,1,2119,Plug-In Hybridautos
2019,2,4637,Reine Elektroautos
2019,2,2202,Plug-In Hybridautos
2019,3,3061,Plug-In Hybridautos
2019,3,6616,Reine Elektroautos
2019,4,4768,Reine Elektroautos
2019,4,3003,Plug-In Hybridautos
2019,5,4630,Reine Elektroautos
2019,5,3269,Plug-In Hybridautos
2019,6,5760,Reine Elektroautos
2019,6,2871,Plug-In Hybridautos
2019,7,3270,Plug-In Hybridautos
2019,7,5963,Reine Elektroautos
2019,8,5001,Reine Elektroautos
2019,8,3120,Plug-In Hybridautos
2019,9,5880,Reine Elektroautos
2019,9,3572,Plug-In Hybridautos
2019,10,4979,Reine Elektroautos
2019,10,6947,Plug-In Hybridautos
2019,11,6334,Plug-In Hybridautos
2019,11,4651,Reine Elektroautos
2019,12,5748,Reine Elektroautos
2019,12,5580,Plug-In Hybridautos
2020,1,7492,Reine Elektroautos
2020,1,8639,Plug-In Hybridautos
2020,2,8354,Plug-In Hybridautos
2020,2,8154,Reine Elektroautos
2020,3,10329,Reine Elektroautos
2020,3,9426,Plug-In Hybridautos
2020,4,5618,Plug-In Hybridautos
2020,4,4635,Reine Elektroautos
2020,5,5578,Reine Elektroautos
2020,5,6755,Plug-In Hybridautos
2020,6,8119,Reine Elektroautos
2020,6,10749,Plug-In Hybridautos
2020,7,16798,Reine Elektroautos
2020,7,19119,Plug-In Hybridautos
2020,8,17095,Plug-In Hybridautos
2020,8,16076,Reine Elektroautos
2020,9,21188,Reine Elektroautos
2020,9,20127,Plug-In Hybridautos
2020,10,23158,Reine Elektroautos
2020,10,24859,Plug-In Hybridautos
2020,11,30621,Plug-In Hybridautos
2020,11,28965,Reine Elektroautos
2020,12,43671,Reine Elektroautos
2020,12,39107,Plug-In Hybridautos
2021,1,20588,Plug-In Hybridautos
2021,1,16315,Reine Elektroautos
2021,2,18278,Reine Elektroautos
2021,2,21879,Plug-In Hybridautos
2021,3,30101,Reine Elektroautos
2021,3,35580,Plug-In Hybridautos
2021,4,23816,Reine Elektroautos
2021,4,26988,Plug-In Hybridautos
2021,5,27222,Plug-In Hybridautos
2021,5,26786,Reine Elektroautos
2021,6,33420,Reine Elektroautos
2021,6,31314,Plug-In Hybridautos
2021,7,25464,Reine Elektroautos
2021,7,30154,Plug-In Hybridautos
2021,8,24497,Plug-In Hybridautos
2021,8,28860,Reine Elektroautos
2021,9,33655,Reine Elektroautos
2021,9,22842,Plug-In Hybridautos
2021,10,23734,Plug-In Hybridautos
2021,10,30560,Reine Elektroautos
2021,11,40270,Reine Elektroautos
2021,11,27899,Plug-In Hybridautos
2021,12,48436,Reine Elektroautos
2021,12,32752,Plug-In Hybridautos
2022,1,20892,Reine Elektroautos
2022,1,18900,Plug-In Hybridautos
2022,2,21583,Plug-In Hybridautos
2022,2,28306,Reine Elektroautos
2022,3,34474,Reine Elektroautos
2022,3,27288,Plug-In Hybridautos
2022,4,22175,Reine Elektroautos
2022,4,21697,Plug-In Hybridautos
2022,5,29215,Reine Elektroautos
2022,5,23206,Plug-In Hybridautos
2022,6,26203,Plug-In Hybridautos
2022,6,32234,Reine Elektroautos
2022,7,28815,Reine Elektroautos
2022,7,23712,Plug-In Hybridautos
2022,8,32006,Reine Elektroautos
2022,8,24719,Plug-In Hybridautos
2022,9,44389,Reine Elektroautos
2022,9,28336,Plug-In Hybridautos
2022,10,32064,Plug-In Hybridautos
2022,10,35781,Reine Elektroautos
2022,11,57980,Reine Elektroautos
2022,11,44581,Plug-In Hybridautos
2022,12,104292,Reine Elektroautos
2022,12,69804,Plug-In Hybridautos
2023,1,8853,Plug-In Hybridautos
2023,1,18136,Reine Elektroautos
2023,2,32475,Reine Elektroautos
2023,2,11916,Plug-In Hybridautos
2023,3,16776,Plug-In Hybridautos
2023,3,44125,Reine Elektroautos
2023,4,29740,Reine Elektroautos
2023,4,11787,Plug-In Hybridautos
2023,5,42725,Reine Elektroautos
2023,5,13830,Plug-In Hybridautos
2023,6,52988,Reine Elektroautos
2023,6,15930,Plug-In Hybridautos
2023,7,14345,Plug-In Hybridautos
2023,7,48682,Reine Elektroautos
2023,8,86649,Reine Elektroautos
2023,8,14552,Plug-In Hybridautos
2023,9,31714,Reine Elektroautos
2023,9,15383,Plug-In Hybridautos
2023,10,16361,Plug-In Hybridautos
2023,10,37334,Reine Elektroautos
2023,11,44942,Reine Elektroautos
2023,11,18124,Plug-In Hybridautos
2023,12,17894,Plug-In Hybridautos
2023,12,54654,Reine Elektroautos
2024,1,22474,Reine Elektroautos
2024,1,14394,Plug-In Hybridautos
2024,2,27479,Reine Elektroautos
2024,2,14575,Plug-In Hybridautos
2024,3,31497,Reine Elektroautos
2024,3,16094,Plug-In Hybridautos
2024,4,15135,Plug-In Hybridautos
2024,4,29668,Reine Elektroautos
2024,5,29708,Reine Elektroautos
2024,5,14038,Plug-In Hybridautos
2024,6,43412,Reine Elektroautos
2024,6,15391,Plug-In Hybridautos
2024,7,14811,Plug-In Hybridautos
2024,7,30762,Reine Elektroautos
2024,8,27024,Reine Elektroautos
2024,8,13565,Plug-In Hybridautos
2024,9,14936,Plug-In Hybridautos
2024,9,34479,Reine Elektroautos
2024,10,35491,Reine Elektroautos
2024,10,19337,Plug-In Hybridautos
2024,11,35167,Reine Elektroautos
2024,11,20604,Plug-In Hybridautos
2024,12,33448,Reine Elektroautos
2024,12,19025,Plug-In Hybridautos
2025,1,17712,Plug-In Hybridautos
2025,1,34498,Reine Elektroautos
2025,2,35949,Reine Elektroautos
2025,2,19534,Plug-In Hybridautos
2025,3,42521,Reine Elektroautos
2025,3,26553,Plug-In Hybridautos
2025,4,45535,Reine Elektroautos
2025,4,24317,Plug-In Hybridautos
2025,5,25181,Plug-In Hybridautos
2025,5,43060,Reine Elektroautos
2025,6,47163,Reine Elektroautos
2025,6,25608,Plug-In Hybridautos
2025,7,48614,Reine Elektroautos
2025,7,27197,Plug-In Hybridautos
2025,8,39367,Reine Elektroautos
2025,8,23973,Plug-In Hybridautos
2025,9,45495,Reine Elektroautos
2025,9,27685,Plug-In Hybridautos
